top_k,user_id,query_id,query_mode,query_subtype,query,method,selected_memory_ids,selected_event_ids,selected_memory_types,selected_memory_scores,gold_memory_ids,gold_event_ids,memory_recall,memory_NDCG,memory_top1_accuracy,todo_recall,non_todo_recall,completed_task_error_rate,todo_intrusion_rate,deadline_ranking_accuracy,memory_token_cost
3,u001,u001_q003,task,task_priority,论文实验复现接下来应该推进什么？,similarity_only,u001_m007|u001_m021|u001_m023,u001_e002|u001_e006|u001_e006,preference|todo|dependency,0.285714|0.285714|0.285714,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,0.3333333333333333,0.19004688335796713,0.0,0.0,1.0,1.0,,0.0,35
3,u001,u001_q003,task,task_priority,论文实验复现接下来应该推进什么？,recency_similarity_hybrid,u001_m058|u001_m057|u001_m037,u001_e015|u001_e015|u001_e010,todo|preference|dependency,0.561137|0.549485|0.454168,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,47
3,u001,u001_q003,task,task_priority,论文实验复现接下来应该推进什么？,proposed_TMT_decay_event_memory,u001_m058|u001_m038|u001_m005,u001_e015|u001_e010|u001_e002,todo|todo|todo,0.566598|0.537434|0.536223,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,0.6666666666666666,0.5248827916050821,0.0,1.0,0.0,0.0,,0.0,51
5,u001,u001_q003,task,task_priority,论文实验复现接下来应该推进什么？,recency_only,u001_m056|u001_m060|u001_m064|u001_m072|u001_m071,u001_e014|u001_e015|u001_e016|u001_e018|u001_e018,fact|fact|fact|fact|fact,1.0|1.0|1.0|1.0|0.996672,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,125
5,u001,u001_q003,task,task_priority,论文实验复现接下来应该推进什么？,similarity_only,u001_m007|u001_m021|u001_m023|u001_m037|u001_m008,u001_e002|u001_e006|u001_e006|u001_e010|u001_e002,preference|todo|dependency|dependency|fact,0.285714|0.285714|0.285714|0.272727|0.26087,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,0.3333333333333333,0.19004688335796713,0.0,0.0,1.0,1.0,,0.0,62
5,u001,u001_q003,task,task_priority,论文实验复现接下来应该推进什么？,recency_similarity_hybrid,u001_m058|u001_m057|u001_m037|u001_m056|u001_m060,u001_e015|u001_e015|u001_e010|u001_e014|u001_e015,todo|preference|dependency|fact|fact,0.561137|0.549485|0.454168|0.45|0.45,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,103
5,u001,u001_q003,task,task_priority,论文实验复现接下来应该推进什么？,proposed_TMT_decay_event_memory,u001_m058|u001_m038|u001_m005|u001_m006|u001_m037,u001_e015|u001_e010|u001_e002|u001_e002|u001_e010,todo|todo|todo|todo|dependency,0.566598|0.537434|0.536223|0.526498|0.515522,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,0.6666666666666666,0.5248827916050821,0.0,1.0,0.0,0.0,,0.0,80
10,u001,u001_q003,task,task_priority,论文实验复现接下来应该推进什么？,recency_only,u001_m056|u001_m060|u001_m064|u001_m072|u001_m071|u001_m070|u001_m069|u001_m063|u001_m062|u001_m061,u001_e014|u001_e015|u001_e016|u001_e018|u001_e018|u001_e018|u001_e018|u001_e016|u001_e016|u001_e016,fact|fact|fact|fact|fact|constraint|todo|todo|constraint|fact,1.0|1.0|1.0|1.0|0.996672|0.996257|0.995842|0.948064|0.947669|0.947274,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,201
10,u001,u001_q003,task,task_priority,论文实验复现接下来应该推进什么？,similarity_only,u001_m007|u001_m021|u001_m023|u001_m037|u001_m008|u001_m039|u001_m058|u001_m006|u001_m057|u001_m005,u001_e002|u001_e006|u001_e006|u001_e010|u001_e002|u001_e010|u001_e015|u001_e002|u001_e015|u001_e002,preference|todo|dependency|dependency|fact|constraint|todo|todo|preference|todo,0.285714|0.285714|0.285714|0.272727|0.26087|0.26087|0.26087|0.24|0.24|0.222222,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,0.6666666666666666,0.35485449134834707,0.0,0.5,1.0,0.25,,0.0,139
10,u001,u001_q003,task,task_priority,论文实验复现接下来应该推进什么？,recency_similarity_hybrid,u001_m058|u001_m057|u001_m037|u001_m056|u001_m060|u001_m064|u001_m072|u001_m071|u001_m070|u001_m069,u001_e015|u001_e015|u001_e010|u001_e014|u001_e015|u001_e016|u001_e018|u001_e018|u001_e018|u001_e018,todo|preference|dependency|fact|fact|fact|fact|fact|constraint|todo,0.561137|0.549485|0.454168|0.45|0.45|0.45|0.45|0.448502|0.448316|0.448129,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,208
10,u001,u001_q003,task,task_priority,论文实验复现接下来应该推进什么？,proposed_TMT_decay_event_memory,u001_m058|u001_m038|u001_m005|u001_m006|u001_m037|u001_m022|u001_m039|u001_m057|u001_m023|u001_m054,u001_e015|u001_e010|u001_e002|u001_e002|u001_e010|u001_e006|u001_e010|u001_e015|u001_e006|u001_e014,todo|todo|todo|todo|dependency|status_update|constraint|preference|dependency|todo,0.566598|0.537434|0.536223|0.526498|0.515522|0.498265|0.483661|0.478603|0.466623|0.450055,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,1.0,0.6393024165514861,0.0,1.0,1.0,0.0,,0.0,160
1,u001,u001_q004,task,task_priority,现在最重要但不一定最紧急的任务是什么？,recency_only,u001_m056,u001_e014,fact,1.0,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.0,0.0,0.0,0.0,,0.0,,0.0,29
1,u001,u001_q004,task,task_priority,现在最重要但不一定最紧急的任务是什么？,similarity_only,u001_m049,u001_e013,preference,0.117647,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.0,0.0,0.0,0.0,,0.0,,0.0,7
1,u001,u001_q004,task,task_priority,现在最重要但不一定最紧急的任务是什么？,recency_similarity_hybrid,u001_m049,u001_e013,preference,0.480455,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.0,0.0,0.0,0.0,,0.0,,0.0,7
1,u001,u001_q004,task,task_priority,现在最重要但不一定最紧急的任务是什么？,proposed_TMT_decay_event_memory,u001_m005,u001_e002,todo,0.482236,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.3333333333333333,1.0,1.0,0.3333333333333333,,0.0,,0.0,16
3,u001,u001_q004,task,task_priority,现在最重要但不一定最紧急的任务是什么？,recency_only,u001_m056|u001_m060|u001_m064,u001_e014|u001_e015|u001_e016,fact|fact|fact,1.0|1.0|1.0,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.0,0.0,0.0,0.0,,0.0,,0.0,87
3,u001,u001_q004,task,task_priority,现在最重要但不一定最紧急的任务是什么？,similarity_only,u001_m049|u001_m004|u001_m041,u001_e013|u001_e001|u001_e011,preference|preference|preference,0.117647|0.075|0.075,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.0,0.0,0.0,0.0,,0.0,,0.0,21
3,u001,u001_q004,task,task_priority,现在最重要但不一定最紧急的任务是什么？,recency_similarity_hybrid,u001_m049|u001_m056|u001_m060,u001_e013|u001_e014|u001_e015,preference|fact|fact,0.480455|0.45|0.45,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.0,0.0,0.0,0.0,,0.0,,0.0,64
3,u001,u001_q004,task,task_priority,现在最重要但不一定最紧急的任务是什么？,proposed_TMT_decay_event_memory,u001_m005|u001_m006|u001_m009,u001_e002|u001_e002|u001_e003,todo|todo|todo,0.482236|0.468048|0.458102,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.3333333333333333,0.5701406500739014,1.0,0.3333333333333333,,0.0,,0.0,46
5,u001,u001_q004,task,task_priority,现在最重要但不一定最紧急的任务是什么？,recency_only,u001_m056|u001_m060|u001_m064|u001_m072|u001_m071,u001_e014|u001_e015|u001_e016|u001_e018|u001_e018,fact|fact|fact|fact|fact,1.0|1.0|1.0|1.0|0.996672,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.0,0.0,0.0,0.0,,0.0,,0.0,125
5,u001,u001_q004,task,task_priority,现在最重要但不一定最紧急的任务是什么？,similarity_only,u001_m049|u001_m004|u001_m041|u001_m007|u001_m021,u001_e013|u001_e001|u001_e011|u001_e002|u001_e006,preference|preference|preference|preference|todo,0.117647|0.075|0.075|0.035714|0.035714,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.0,0.0,0.0,0.0,,1.0,,0.0,46
5,u001,u001_q004,task,task_priority,现在最重要但不一定最紧急的任务是什么？,recency_similarity_hybrid,u001_m049|u001_m056|u001_m060|u001_m064|u001_m072,u001_e013|u001_e014|u001_e015|u001_e016|u001_e018,preference|fact|fact|fact|fact,0.480455|0.45|0.45|0.45|0.45,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.0,0.0,0.0,0.0,,0.0,,0.0,120
5,u001,u001_q004,task,task_priority,现在最重要但不一定最紧急的任务是什么？,proposed_TMT_decay_event_memory,u001_m005|u001_m006|u001_m009|u001_m058|u001_m034,u001_e002|u001_e002|u001_e003|u001_e015|u001_e009,todo|todo|todo|todo|todo,0.482236|0.468048|0.458102|0.456221|0.447295,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.3333333333333333,0.5701406500739014,1.0,0.3333333333333333,,0.0,,0.0,80
10,u001,u001_q004,task,task_priority,现在最重要但不一定最紧急的任务是什么？,recency_only,u001_m056|u001_m060|u001_m064|u001_m072|u001_m071|u001_m070|u001_m069|u001_m063|u001_m062|u001_m061,u001_e014|u001_e015|u001_e016|u001_e018|u001_e018|u001_e018|u001_e018|u001_e016|u001_e016|u001_e016,fact|fact|fact|fact|fact|constraint|todo|todo|constraint|fact,1.0|1.0|1.0|1.0|0.996672|0.996257|0.995842|0.948064|0.947669|0.947274,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.0,0.0,0.0,0.0,,0.0,,0.0,201
10,u001,u001_q004,task,task_priority,现在最重要但不一定最紧急的任务是什么？,similarity_only,u001_m049|u001_m004|u001_m041|u001_m007|u001_m021|u001_m023|u001_m037|u001_m008|u001_m039|u001_m058,u001_e013|u001_e001|u001_e011|u001_e002|u001_e006|u001_e006|u001_e010|u001_e002|u001_e010|u001_e015,preference|preference|preference|preference|todo|dependency|dependency|fact|constraint|todo,0.117647|0.075|0.075|0.035714|0.035714|0.035714|0.034483|0.033333|0.033333|0.033333,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.0,0.0,0.0,0.0,,0.5,,0.0,111
10,u001,u001_q004,task,task_priority,现在最重要但不一定最紧急的任务是什么？,recency_similarity_hybrid,u001_m049|u001_m056|u001_m060|u001_m064|u001_m072|u001_m071|u001_m070|u001_m069|u001_m058|u001_m057,u001_e013|u001_e014|u001_e015|u001_e016|u001_e018|u001_e018|u001_e018|u001_e018|u001_e015|u001_e015,preference|fact|fact|fact|fact|fact|constraint|todo|todo|preference,0.480455|0.45|0.45|0.45|0.45|0.448502|0.448316|0.448129|0.435992|0.434672,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.0,0.0,0.0,0.0,,0.0,,0.0,201
10,u001,u001_q004,task,task_priority,现在最重要但不一定最紧急的任务是什么？,proposed_TMT_decay_event_memory,u001_m005|u001_m006|u001_m009|u001_m058|u001_m034|u001_m049|u001_m002|u001_m069|u001_m054|u001_m001,u001_e002|u001_e002|u001_e003|u001_e015|u001_e009|u001_e013|u001_e001|u001_e018|u001_e014|u001_e001,todo|todo|todo|todo|todo|preference|todo|todo|todo|todo,0.482236|0.468048|0.458102|0.456221|0.447295|0.44085|0.436843|0.435448|0.426722|0.423273,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.6666666666666666,0.6800123887341547,1.0,0.6666666666666666,,0.0,,0.0,156
1,u001,u001_q005,task,task_status,课程项目汇报还有什么没完成？,recency_only,u001_m056,u001_e014,fact,1.0,u001_m018|u001_m002|u001_m065,u001_e005|u001_e001|u001_e017,0.0,0.0,0.0,0.0,0.0,,,,29
1,u001,u001_q005,task,task_status,课程项目汇报还有什么没完成？,similarity_only,u001_m017,u001_e005,todo,0.333333,u001_m018|u001_m002|u001_m065,u001_e005|u001_e001|u001_e017,0.0,0.0,0.0,0.0,0.0,,,,10
