top_k,ablation,user_id,query_id,query_mode,query_subtype,query,selected_memory_ids,selected_event_ids,selected_memory_types,selected_memory_scores,gold_memory_ids,gold_event_ids,memory_recall,memory_NDCG,memory_top1_accuracy,todo_recall,non_todo_recall,completed_task_error_rate,todo_intrusion_rate,deadline_ranking_accuracy,memory_token_cost
10,wo_domain,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,u001_m002|u001_m054|u001_m034|u001_m001|u001_m053|u001_m033|u001_m050|u001_m049|u001_m035|u001_m070,u001_e001|u001_e014|u001_e009|u001_e001|u001_e014|u001_e009|u001_e013|u001_e013|u001_e009|u001_e018,todo|todo|todo|todo|constraint|dependency|status_update|preference|constraint|constraint,0.510694|0.49627|0.489617|0.484516|0.483685|0.438124|0.429498|0.412705|0.405675|0.388968,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,1.0,0.8980517442734133,1.0,1.0,,0.0,,0.0,173
10,wo_penalty,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,u001_m002|u001_m054|u001_m034|u001_m001|u001_m053|u001_m033|u001_m035|u001_m049|u001_m070|u001_m018,u001_e001|u001_e014|u001_e009|u001_e001|u001_e014|u001_e009|u001_e009|u001_e013|u001_e018|u001_e005,todo|todo|todo|todo|constraint|dependency|constraint|preference|constraint|status_update,0.610694|0.59627|0.589617|0.584516|0.583685|0.538124|0.505675|0.496038|0.488968|0.487319,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,1.0,0.8980517442734133,1.0,1.0,,0.0,,0.0,169
5,full_qca,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,u001_m002|u001_m054|u001_m034|u001_m001|u001_m053,u001_e001|u001_e014|u001_e009|u001_e001|u001_e014,todo|todo|todo|todo|constraint,0.506472|0.494048|0.490986|0.484152|0.483321,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.3333333333333333,0.6300059872618923,1.0,0.5,0.0,0.0,,0.0,94
5,wo_tmt,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,u001_m069|u001_m001|u001_m002|u001_m054|u001_m034,u001_e018|u001_e001|u001_e001|u001_e014|u001_e009,todo|todo|todo|todo|todo,0.6188|0.586928|0.57592|0.566018|0.556808,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.6666666666666666,0.5250049893849101,1.0,1.0,0.0,0.0,,1.0,89
5,wo_decay,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,u001_m002|u001_m054|u001_m034|u001_m001|u001_m053,u001_e001|u001_e014|u001_e009|u001_e001|u001_e014,todo|todo|todo|todo|constraint,0.506472|0.494048|0.490986|0.484152|0.473408,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.3333333333333333,0.6300059872618923,1.0,0.5,0.0,0.0,,0.0,94
5,wo_compatibility,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,u001_m053|u001_m049|u001_m070|u001_m033|u001_m045,u001_e014|u001_e013|u001_e018|u001_e009|u001_e012,constraint|preference|constraint|dependency|preference,0.402321|0.366947|0.362468|0.332744|0.329383,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,69
5,wo_domain,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,u001_m002|u001_m054|u001_m034|u001_m001|u001_m053,u001_e001|u001_e014|u001_e009|u001_e001|u001_e014,todo|todo|todo|todo|constraint,0.456472|0.444048|0.440986|0.434152|0.433321,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.3333333333333333,0.6300059872618923,1.0,0.5,0.0,0.0,,0.0,94
5,wo_penalty,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,u001_m002|u001_m054|u001_m034|u001_m001|u001_m053,u001_e001|u001_e014|u001_e009|u001_e001|u001_e014,todo|todo|todo|todo|constraint,0.506472|0.494048|0.490986|0.484152|0.483321,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.3333333333333333,0.6300059872618923,1.0,0.5,0.0,0.0,,0.0,94
10,full_qca,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,u001_m002|u001_m054|u001_m034|u001_m001|u001_m053|u001_m070|u001_m069|u001_m033|u001_m050|u001_m025,u001_e001|u001_e014|u001_e009|u001_e001|u001_e014|u001_e018|u001_e018|u001_e009|u001_e013|u001_e007,todo|todo|todo|todo|constraint|constraint|todo|dependency|status_update|todo,0.506472|0.494048|0.490986|0.484152|0.483321|0.443468|0.43245|0.431744|0.429498|0.422753,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.6666666666666666,0.7000066525132136,1.0,1.0,0.0,0.0,,0.0,183
10,wo_tmt,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,u001_m069|u001_m001|u001_m002|u001_m054|u001_m034|u001_m005|u001_m009|u001_m025|u001_m053|u001_m058,u001_e018|u001_e001|u001_e001|u001_e014|u001_e009|u001_e002|u001_e003|u001_e007|u001_e014|u001_e015,todo|todo|todo|todo|todo|todo|todo|todo|constraint|todo,0.6188|0.586928|0.57592|0.566018|0.556808|0.510227|0.504947|0.49752|0.483321|0.472933,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.6666666666666666,0.5250049893849101,1.0,1.0,0.0,0.0,,1.0,168
10,wo_decay,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,u001_m002|u001_m054|u001_m034|u001_m001|u001_m053|u001_m033|u001_m018|u001_m069|u001_m070|u001_m035,u001_e001|u001_e014|u001_e009|u001_e001|u001_e014|u001_e009|u001_e005|u001_e018|u001_e018|u001_e009,todo|todo|todo|todo|constraint|dependency|status_update|todo|constraint|constraint,0.506472|0.494048|0.490986|0.484152|0.473408|0.470515|0.463929|0.43245|0.4322|0.43059,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.6666666666666666,0.6962542409771737,1.0,1.0,0.0,0.0,,0.0,177
10,wo_compatibility,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,u001_m053|u001_m049|u001_m070|u001_m033|u001_m045|u001_m002|u001_m057|u001_m041|u001_m054|u001_m035,u001_e014|u001_e013|u001_e018|u001_e009|u001_e012|u001_e001|u001_e015|u001_e011|u001_e014|u001_e009,constraint|preference|constraint|dependency|preference|todo|preference|preference|todo|constraint,0.402321|0.366947|0.362468|0.332744|0.329383|0.326472|0.323968|0.314671|0.314048|0.313425,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.3333333333333333,0.2244126605837711,0.0,0.5,0.0,0.0,,0.0,146
10,wo_domain,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,u001_m002|u001_m054|u001_m034|u001_m001|u001_m053|u001_m050|u001_m033|u001_m049|u001_m025|u001_m035,u001_e001|u001_e014|u001_e009|u001_e001|u001_e014|u001_e013|u001_e009|u001_e013|u001_e007|u001_e009,todo|todo|todo|todo|constraint|status_update|dependency|preference|todo|constraint,0.456472|0.444048|0.440986|0.434152|0.433321|0.429498|0.381744|0.37728|0.372753|0.344425,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.3333333333333333,0.6300059872618923,1.0,0.5,0.0,0.0,,0.0,167
10,wo_penalty,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,u001_m002|u001_m054|u001_m034|u001_m001|u001_m053|u001_m070|u001_m069|u001_m033|u001_m050|u001_m025,u001_e001|u001_e014|u001_e009|u001_e001|u001_e014|u001_e018|u001_e018|u001_e009|u001_e013|u001_e007,todo|todo|todo|todo|constraint|constraint|todo|dependency|status_update|todo,0.506472|0.494048|0.490986|0.484152|0.483321|0.443468|0.43245|0.431744|0.429498|0.422753,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.6666666666666666,0.7000066525132136,1.0,1.0,0.0,0.0,,0.0,183
5,full_qca,u001,u001_q003,task,task_priority,论文实验复现接下来应该推进什么？,u001_m058|u001_m038|u001_m005|u001_m006|u001_m037,u001_e015|u001_e010|u001_e002|u001_e002|u001_e010,todo|todo|todo|todo|dependency,0.566598|0.537434|0.536223|0.526498|0.515522,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,0.6666666666666666,0.5248827916050821,0.0,1.0,0.0,0.0,,0.0,80
5,wo_tmt,u001,u001_q003,task,task_priority,论文实验复现接下来应该推进什么？,u001_m058|u001_m005|u001_m038|u001_m006|u001_m037,u001_e015|u001_e002|u001_e010|u001_e002|u001_e010,todo|todo|todo|todo|dependency,0.636343|0.632372|0.593531|0.58755|0.515522,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,0.6666666666666666,0.5497655832101642,0.0,1.0,0.0,0.0,,0.0,80
5,wo_decay,u001,u001_q003,task,task_priority,论文实验复现接下来应该推进什么？,u001_m058|u001_m038|u001_m005|u001_m006|u001_m022,u001_e015|u001_e010|u001_e002|u001_e002|u001_e006,todo|todo|todo|todo|status_update,0.566598|0.537434|0.536223|0.526498|0.5247,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,0.6666666666666666,0.5248827916050821,0.0,1.0,0.0,0.0,,0.0,83
5,wo_compatibility,u001,u001_q003,task,task_priority,论文实验复现接下来应该推进什么？,u001_m057|u001_m037|u001_m039|u001_m022|u001_m059,u001_e015|u001_e010|u001_e010|u001_e006|u001_e015,preference|dependency|constraint|status_update|preference,0.445603|0.416522|0.384661|0.377265|0.368842,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,77
5,wo_domain,u001,u001_q003,task,task_priority,论文实验复现接下来应该推进什么？,u001_m002|u001_m054|u001_m058|u001_m034|u001_m001,u001_e001|u001_e014|u001_e015|u001_e009|u001_e001,todo|todo|todo|todo|todo,0.436843|0.426722|0.426598|0.423961|0.423273,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,90
5,wo_penalty,u001,u001_q003,task,task_priority,论文实验复现接下来应该推进什么？,u001_m058|u001_m038|u001_m005|u001_m006|u001_m037,u001_e015|u001_e010|u001_e002|u001_e002|u001_e010,todo|todo|todo|todo|dependency,0.566598|0.537434|0.536223|0.526498|0.515522,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,0.6666666666666666,0.5248827916050821,0.0,1.0,0.0,0.0,,0.0,80
10,full_qca,u001,u001_q003,task,task_priority,论文实验复现接下来应该推进什么？,u001_m058|u001_m038|u001_m005|u001_m006|u001_m037|u001_m022|u001_m039|u001_m057|u001_m023|u001_m054,u001_e015|u001_e010|u001_e002|u001_e002|u001_e010|u001_e006|u001_e010|u001_e015|u001_e006|u001_e014,todo|todo|todo|todo|dependency|status_update|constraint|preference|dependency|todo,0.566598|0.537434|0.536223|0.526498|0.515522|0.498265|0.483661|0.478603|0.466623|0.450055,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,1.0,0.6393024165514861,0.0,1.0,1.0,0.0,,0.0,160
10,wo_tmt,u001,u001_q003,task,task_priority,论文实验复现接下来应该推进什么？,u001_m058|u001_m005|u001_m038|u001_m006|u001_m037|u001_m054|u001_m022|u001_m001|u001_m034|u001_m002,u001_e015|u001_e002|u001_e010|u001_e002|u001_e010|u001_e014|u001_e006|u001_e001|u001_e009|u001_e001,todo|todo|todo|todo|dependency|todo|status_update|todo|todo|todo,0.636343|0.632372|0.593531|0.58755|0.515522|0.502033|0.498265|0.4975|0.494833|0.487,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,0.6666666666666666,0.5497655832101642,0.0,1.0,0.0,0.0,,0.0,171
10,wo_decay,u001,u001_q003,task,task_priority,论文实验复现接下来应该推进什么？,u001_m058|u001_m038|u001_m005|u001_m006|u001_m022|u001_m037|u001_m023|u001_m039|u001_m057|u001_m054,u001_e015|u001_e010|u001_e002|u001_e002|u001_e006|u001_e010|u001_e006|u001_e010|u001_e015|u001_e014,todo|todo|todo|todo|status_update|dependency|dependency|constraint|preference|todo,0.566598|0.537434|0.536223|0.526498|0.5247|0.524664|0.5067|0.491443|0.4689|0.450055,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,1.0,0.6515807138437268,0.0,1.0,1.0,0.0,,0.0,160
10,wo_compatibility,u001,u001_q003,task,task_priority,论文实验复现接下来应该推进什么？,u001_m057|u001_m037|u001_m039|u001_m022|u001_m059|u001_m023|u001_m058|u001_m042|u001_m049|u001_m007,u001_e015|u001_e010|u001_e010|u001_e006|u001_e015|u001_e006|u001_e015|u001_e011|u001_e013|u001_e002,preference|dependency|constraint|status_update|preference|dependency|todo|profile|preference|preference,0.445603|0.416522|0.384661|0.377265|0.368842|0.367623|0.357598|0.351998|0.336242|0.335078,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,0.3333333333333333,0.13539213147917573,0.0,0.0,1.0,0.0,,0.0,130
10,wo_domain,u001,u001_q003,task,task_priority,论文实验复现接下来应该推进什么？,u001_m002|u001_m054|u001_m058|u001_m034|u001_m001|u001_m038|u001_m005|u001_m006|u001_m053|u001_m050,u001_e001|u001_e014|u001_e015|u001_e009|u001_e001|u001_e010|u001_e002|u001_e002|u001_e014|u001_e013,todo|todo|todo|todo|todo|todo|todo|todo|constraint|status_update,0.436843|0.426722|0.426598|0.423961|0.423273|0.397434|0.396223|0.386498|0.38221|0.377347,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,0.6666666666666666,0.3254390148371428,0.0,1.0,0.0,0.0,,0.0,180
10,wo_penalty,u001,u001_q003,task,task_priority,论文实验复现接下来应该推进什么？,u001_m058|u001_m038|u001_m005|u001_m006|u001_m037|u001_m022|u001_m039|u001_m057|u001_m021|u001_m023,u001_e015|u001_e010|u001_e002|u001_e002|u001_e010|u001_e006|u001_e010|u001_e015|u001_e006|u001_e006,todo|todo|todo|todo|dependency|status_update|constraint|preference|todo|dependency,0.566598|0.537434|0.536223|0.526498|0.515522|0.498265|0.483661|0.478603|0.4772|0.466623,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,1.0,0.6347545302653355,0.0,1.0,1.0,0.2,,0.0,151
5,full_qca,u001,u001_q004,task,task_priority,现在最重要但不一定最紧急的任务是什么？,u001_m005|u001_m006|u001_m009|u001_m058|u001_m034,u001_e002|u001_e002|u001_e003|u001_e015|u001_e009,todo|todo|todo|todo|todo,0.482236|0.468048|0.458102|0.456221|0.447295,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.3333333333333333,0.5701406500739014,1.0,0.3333333333333333,,0.0,,0.0,80
5,wo_tmt,u001,u001_q004,task,task_priority,现在最重要但不一定最紧急的任务是什么？,u001_m005|u001_m069|u001_m009|u001_m006|u001_m058,u001_e002|u001_e018|u001_e003|u001_e002|u001_e015,todo|todo|todo|todo|todo,0.578385|0.570033|0.532617|0.5291|0.525967,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.3333333333333333,0.5701406500739014,1.0,0.3333333333333333,,0.0,,0.0,75
5,wo_decay,u001,u001_q004,task,task_priority,现在最重要但不一定最紧急的任务是什么？,u001_m005|u001_m006|u001_m009|u001_m058|u001_m034,u001_e002|u001_e002|u001_e003|u001_e015|u001_e009,todo|todo|todo|todo|todo,0.482236|0.468048|0.458102|0.456221|0.447295,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.3333333333333333,0.5701406500739014,1.0,0.3333333333333333,,0.0,,0.0,80
5,wo_compatibility,u001,u001_q004,task,task_priority,现在最重要但不一定最紧急的任务是什么？,u001_m049|u001_m041|u001_m057|u001_m059|u001_m070,u001_e013|u001_e011|u001_e015|u001_e015|u001_e018,preference|preference|preference|preference|constraint,0.40785|0.356267|0.340486|0.322175|0.302221,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.0,0.0,0.0,0.0,,0.0,,0.0,68
5,wo_domain,u001,u001_q004,task,task_priority,现在最重要但不一定最紧急的任务是什么？,u001_m002|u001_m054|u001_m034|u001_m001|u001_m053,u001_e001|u001_e014|u001_e009|u001_e001|u001_e014,todo|todo|todo|todo|constraint,0.436843|0.426722|0.423961|0.423273|0.38221,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.3333333333333333,0.16369747519436975,0.0,0.3333333333333333,,0.0,,0.0,94
5,wo_penalty,u001,u001_q004,task,task_priority,现在最重要但不一定最紧急的任务是什么？,u001_m005|u001_m006|u001_m009|u001_m058|u001_m034,u001_e002|u001_e002|u001_e003|u001_e015|u001_e009,todo|todo|todo|todo|todo,0.482236|0.468048|0.458102|0.456221|0.447295,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.3333333333333333,0.5701406500739014,1.0,0.3333333333333333,,0.0,,0.0,80
10,full_qca,u001,u001_q004,task,task_priority,现在最重要但不一定最紧急的任务是什么？,u001_m005|u001_m006|u001_m009|u001_m058|u001_m034|u001_m049|u001_m002|u001_m069|u001_m054|u001_m001,u001_e002|u001_e002|u001_e003|u001_e015|u001_e009|u001_e013|u001_e001|u001_e018|u001_e014|u001_e001,todo|todo|todo|todo|todo|preference|todo|todo|todo|todo,0.482236|0.468048|0.458102|0.456221|0.447295|0.44085|0.436843|0.435448|0.426722|0.423273,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.6666666666666666,0.6800123887341547,1.0,0.6666666666666666,,0.0,,0.0,156
10,wo_tmt,u001,u001_q004,task,task_priority,现在最重要但不一定最紧急的任务是什么？,u001_m005|u001_m069|u001_m009|u001_m006|u001_m058|u001_m063|u001_m001|u001_m034|u001_m002|u001_m054,u001_e002|u001_e018|u001_e003|u001_e002|u001_e015|u001_e016|u001_e001|u001_e009|u001_e001|u001_e014,todo|todo|todo|todo|todo|todo|todo|todo|todo|todo,0.578385|0.570033|0.532617|0.5291|0.525967|0.5114|0.4975|0.494833|0.487|0.4787,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.6666666666666666,0.6968385723125461,1.0,0.6666666666666666,,0.0,,0.0,159
10,wo_decay,u001,u001_q004,task,task_priority,现在最重要但不一定最紧急的任务是什么？,u001_m005|u001_m006|u001_m009|u001_m058|u001_m034|u001_m018|u001_m002|u001_m069|u001_m054|u001_m049,u001_e002|u001_e002|u001_e003|u001_e015|u001_e009|u001_e005|u001_e001|u001_e018|u001_e014|u001_e013,todo|todo|todo|todo|todo|status_update|todo|todo|todo|preference,0.482236|0.468048|0.458102|0.456221|0.447295|0.4435|0.436843|0.435448|0.426722|0.426175,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.3333333333333333,0.5701406500739014,1.0,0.3333333333333333,,0.0,,0.0,155
10,wo_compatibility,u001,u001_q004,task,task_priority,现在最重要但不一定最紧急的任务是什么？,u001_m049|u001_m041|u001_m057|u001_m059|u001_m070|u001_m053|u001_m005|u001_m061|u001_m007|u001_m062,u001_e013|u001_e011|u001_e015|u001_e015|u001_e018|u001_e014|u001_e002|u001_e016|u001_e002|u001_e016,preference|preference|preference|preference|constraint|constraint|todo|fact|preference|constraint,0.40785|0.356267|0.340486|0.322175|0.302221|0.28321|0.273236|0.265519|0.265078|0.264111,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.3333333333333333,0.19004688335796713,0.0,0.3333333333333333,,0.0,,0.0,144
10,wo_domain,u001,u001_q004,task,task_priority,现在最重要但不一定最紧急的任务是什么？,u001_m002|u001_m054|u001_m034|u001_m001|u001_m053|u001_m050|u001_m025|u001_m058|u001_m049|u001_m038,u001_e001|u001_e014|u001_e009|u001_e001|u001_e014|u001_e013|u001_e007|u001_e015|u001_e013|u001_e010,todo|todo|todo|todo|constraint|status_update|todo|todo|preference|todo,0.436843|0.426722|0.423961|0.423273|0.38221|0.377347|0.371601|0.362888|0.347517|0.34728,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.3333333333333333,0.16369747519436975,0.0,0.3333333333333333,,0.0,,0.0,170
10,wo_penalty,u001,u001_q004,task,task_priority,现在最重要但不一定最紧急的任务是什么？,u001_m005|u001_m006|u001_m009|u001_m058|u001_m034|u001_m049|u001_m002|u001_m069|u001_m054|u001_m001,u001_e002|u001_e002|u001_e003|u001_e015|u001_e009|u001_e013|u001_e001|u001_e018|u001_e014|u001_e001,todo|todo|todo|todo|todo|preference|todo|todo|todo|todo,0.482236|0.468048|0.458102|0.456221|0.447295|0.44085|0.436843|0.435448|0.426722|0.423273,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.6666666666666666,0.6800123887341547,1.0,0.6666666666666666,,0.0,,0.0,156
5,full_qca,u001,u001_q005,task,task_status,课程项目汇报还有什么没完成？,u001_m002|u001_m001|u001_m018|u001_m054|u001_m034,u001_e001|u001_e001|u001_e005|u001_e014|u001_e009,todo|todo|status_update|todo|todo,0.652675|0.649313|0.647481|0.642505|0.632107,u001_m018|u001_m002|u001_m065,u001_e005|u001_e001|u001_e017,0.6666666666666666,0.8344475896326595,1.0,0.5,1.0,,,,91
5,wo_tmt,u001,u001_q005,task,task_status,课程项目汇报还有什么没完成？,u001_m001|u001_m002|u001_m054|u001_m018|u001_m034,u001_e001|u001_e001|u001_e014|u001_e005|u001_e009,todo|todo|todo|status_update|todo,0.6653|0.663478|0.6537|0.647481|0.642346,u001_m018|u001_m002|u001_m065,u001_e005|u001_e001|u001_e017,0.6666666666666666,0.5905698852605757,0.0,0.5,1.0,,,,91
5,wo_decay,u001,u001_q005,task,task_status,课程项目汇报还有什么没完成？,u001_m018|u001_m002|u001_m001|u001_m054|u001_m034,u001_e005|u001_e001|u001_e001|u001_e014|u001_e009,status_update|todo|todo|todo|todo,0.691773|0.652675|0.649313|0.642505|0.632107,u001_m018|u001_m002|u001_m065,u001_e005|u001_e001|u001_e017,0.6666666666666666,0.9072836011519267,1.0,0.5,1.0,,,,91
