top_k,ablation,user_id,query_id,query_mode,query_subtype,hard_case_tag,query,selected_memory_ids,selected_event_ids,selected_memory_types,selected_memory_scores,gold_memory_ids,gold_event_ids,memory_recall,memory_NDCG,memory_top1_accuracy,todo_recall,non_todo_recall,completed_task_error_rate,todo_intrusion_rate,deadline_ranking_accuracy,memory_token_cost
5,wo_tmt,u001,u001_q002,task,task_due,,今天有哪些快到截止但不能被过度放大的事项？,u001_m069|u001_m070|u001_m001|u001_m002|u001_m054,u001_e018|u001_e018|u001_e001|u001_e001|u001_e014,todo|constraint|todo|todo|todo,0.6208|0.592384|0.586368|0.5756|0.565778,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.6666666666666666,0.4813308059135458,1.0,1.0,0.0,0.0,,1.0,92
5,wo_decay,u001,u001_q002,task,task_due,,今天有哪些快到截止但不能被过度放大的事项？,u001_m001|u001_m002|u001_m054|u001_m034|u001_m005,u001_e001|u001_e001|u001_e014|u001_e009|u001_e002,todo|todo|todo|todo|todo,0.582488|0.57668|0.560978|0.553988|0.551547,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.3333333333333333,0.39748952229168844,0.0,0.5,0.0,0.0,,0.0,90
5,wo_compatibility,u001,u001_q002,task,task_due,,今天有哪些快到截止但不能被过度放大的事项？,u001_m070|u001_m071|u001_m072|u001_m045|u001_m053,u001_e018|u001_e018|u001_e018|u001_e012|u001_e014,constraint|fact|fact|preference|constraint,0.511384|0.494563|0.4832|0.445076|0.441259,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,83
5,wo_domain,u001,u001_q002,task,task_due,,今天有哪些快到截止但不能被过度放大的事项？,u001_m050|u001_m070|u001_m005|u001_m053|u001_m062,u001_e013|u001_e018|u001_e002|u001_e014|u001_e016,status_update|constraint|todo|constraint|constraint,0.502138|0.492384|0.48488|0.472259|0.449313,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,91
5,wo_penalty,u001,u001_q002,task,task_due,,今天有哪些快到截止但不能被过度放大的事项？,u001_m070|u001_m001|u001_m002|u001_m054|u001_m034,u001_e018|u001_e001|u001_e001|u001_e014|u001_e009,constraint|todo|todo|todo|todo,0.592384|0.582488|0.57668|0.560978|0.553988,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.3333333333333333,0.31500299363094614,0.0,0.5,0.0,0.0,,0.0,96
10,full_qca,u001,u001_q002,task,task_due,,今天有哪些快到截止但不能被过度放大的事项？,u001_m070|u001_m001|u001_m002|u001_m054|u001_m034|u001_m005|u001_m071|u001_m072|u001_m053|u001_m050,u001_e018|u001_e001|u001_e001|u001_e014|u001_e009|u001_e002|u001_e018|u001_e018|u001_e014|u001_e013,constraint|todo|todo|todo|todo|todo|fact|fact|constraint|status_update,0.592384|0.582488|0.57668|0.560978|0.553988|0.551547|0.539563|0.5282|0.522259|0.502138,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.3333333333333333,0.31500299363094614,0.0,0.5,0.0,0.0,,0.0,190
10,wo_tmt,u001,u001_q002,task,task_due,,今天有哪些快到截止但不能被过度放大的事项？,u001_m069|u001_m070|u001_m001|u001_m002|u001_m054|u001_m034|u001_m071|u001_m072|u001_m053|u001_m005,u001_e018|u001_e018|u001_e001|u001_e001|u001_e014|u001_e009|u001_e018|u001_e018|u001_e014|u001_e002,todo|constraint|todo|todo|todo|todo|fact|fact|constraint|todo,0.6208|0.592384|0.586368|0.5756|0.565778|0.556568|0.539563|0.5282|0.522259|0.509067,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.6666666666666666,0.4813308059135458,1.0,1.0,0.0,0.0,,1.0,184
10,wo_decay,u001,u001_q002,task,task_due,,今天有哪些快到截止但不能被过度放大的事项？,u001_m001|u001_m002|u001_m054|u001_m034|u001_m005|u001_m013|u001_m053|u001_m033|u001_m006|u001_m018,u001_e001|u001_e001|u001_e014|u001_e009|u001_e002|u001_e004|u001_e014|u001_e009|u001_e002|u001_e005,todo|todo|todo|todo|todo|todo|constraint|dependency|todo|status_update,0.582488|0.57668|0.560978|0.553988|0.551547|0.474|0.472968|0.470035|0.468027|0.463369,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.3333333333333333,0.39748952229168844,0.0,0.5,0.0,0.0,,0.0,172
10,wo_compatibility,u001,u001_q002,task,task_due,,今天有哪些快到截止但不能被过度放大的事项？,u001_m070|u001_m071|u001_m072|u001_m045|u001_m053|u001_m056|u001_m064|u001_m061|u001_m062|u001_m060,u001_e018|u001_e018|u001_e018|u001_e012|u001_e014|u001_e014|u001_e016|u001_e016|u001_e016|u001_e015,constraint|fact|fact|preference|constraint|fact|fact|fact|constraint|fact,0.511384|0.494563|0.4832|0.445076|0.441259|0.4332|0.4332|0.419344|0.418313|0.416533,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,199
10,wo_domain,u001,u001_q002,task,task_due,,今天有哪些快到截止但不能被过度放大的事项？,u001_m050|u001_m070|u001_m005|u001_m053|u001_m062|u001_m071|u001_m056|u001_m060|u001_m064|u001_m072,u001_e013|u001_e018|u001_e002|u001_e014|u001_e016|u001_e018|u001_e014|u001_e015|u001_e016|u001_e018,status_update|constraint|todo|constraint|constraint|fact|fact|fact|fact|fact,0.502138|0.492384|0.48488|0.472259|0.449313|0.439563|0.4282|0.4282|0.4282|0.4282,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,216
10,wo_penalty,u001,u001_q002,task,task_due,,今天有哪些快到截止但不能被过度放大的事项？,u001_m070|u001_m001|u001_m002|u001_m054|u001_m034|u001_m005|u001_m071|u001_m072|u001_m053|u001_m050,u001_e018|u001_e001|u001_e001|u001_e014|u001_e009|u001_e002|u001_e018|u001_e018|u001_e014|u001_e013,constraint|todo|todo|todo|todo|todo|fact|fact|constraint|status_update,0.592384|0.582488|0.57668|0.560978|0.553988|0.551547|0.539563|0.5282|0.522259|0.502138,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.3333333333333333,0.31500299363094614,0.0,0.5,0.0,0.0,,0.0,190
5,full_qca,u001,u001_q003,task,task_priority,,论文实验复现接下来应该推进什么？,u001_m005|u001_m058|u001_m006|u001_m038|u001_m057,u001_e002|u001_e015|u001_e002|u001_e010|u001_e015,todo|todo|todo|todo|preference,0.661602|0.626483|0.59866|0.591891|0.544822,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,0.6666666666666666,0.7338381252682711,1.0,1.0,0.0,0.0,,0.0,84
5,wo_tmt,u001,u001_q003,task,task_priority,,论文实验复现接下来应该推进什么？,u001_m058|u001_m005|u001_m038|u001_m006|u001_m057,u001_e015|u001_e002|u001_e010|u001_e002|u001_e015,todo|todo|todo|todo|preference,0.635843|0.630922|0.592931|0.5867|0.544822,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,0.6666666666666666,0.5497655832101642,0.0,1.0,0.0,0.0,,0.0,84
5,wo_decay,u001,u001_q003,task,task_priority,,论文实验复现接下来应该推进什么？,u001_m005|u001_m058|u001_m006|u001_m038|u001_m037,u001_e002|u001_e015|u001_e002|u001_e010|u001_e010,todo|todo|todo|todo|dependency,0.661602|0.626483|0.59866|0.591891|0.523964,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,0.6666666666666666,0.7338381252682711,1.0,1.0,0.0,0.0,,0.0,80
5,wo_compatibility,u001,u001_q003,task,task_priority,,论文实验复现接下来应该推进什么？,u001_m057|u001_m005|u001_m037|u001_m059|u001_m039,u001_e015|u001_e002|u001_e010|u001_e015|u001_e010,preference|todo|dependency|preference|constraint,0.511822|0.452602|0.441864|0.44186|0.429707,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,0.3333333333333333,0.3597186998521971,0.0,0.5,0.0,0.0,,0.0,75
5,wo_domain,u001,u001_q003,task,task_priority,,论文实验复现接下来应该推进什么？,u001_m005|u001_m058|u001_m006|u001_m038|u001_m050,u001_e002|u001_e015|u001_e002|u001_e010|u001_e013,todo|todo|todo|todo|status_update,0.521602|0.486483|0.45866|0.451891|0.429555,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,0.6666666666666666,0.7338381252682711,1.0,1.0,0.0,0.0,,0.0,87
5,wo_penalty,u001,u001_q003,task,task_priority,,论文实验复现接下来应该推进什么？,u001_m005|u001_m058|u001_m006|u001_m038|u001_m057,u001_e002|u001_e015|u001_e002|u001_e010|u001_e015,todo|todo|todo|todo|preference,0.661602|0.626483|0.59866|0.591891|0.544822,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,0.6666666666666666,0.7338381252682711,1.0,1.0,0.0,0.0,,0.0,84
10,full_qca,u001,u001_q003,task,task_priority,,论文实验复现接下来应该推进什么？,u001_m005|u001_m058|u001_m006|u001_m038|u001_m057|u001_m037|u001_m039|u001_m054|u001_m034|u001_m060,u001_e002|u001_e015|u001_e002|u001_e010|u001_e015|u001_e010|u001_e010|u001_e014|u001_e009|u001_e015,todo|todo|todo|todo|preference|dependency|constraint|todo|todo|fact,0.661602|0.626483|0.59866|0.591891|0.544822|0.540864|0.528707|0.498267|0.49267|0.484,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,0.6666666666666666,0.7338381252682711,1.0,1.0,0.0,0.0,,0.0,181
10,wo_tmt,u001,u001_q003,task,task_priority,,论文实验复现接下来应该推进什么？,u001_m058|u001_m005|u001_m038|u001_m006|u001_m057|u001_m037|u001_m039|u001_m054|u001_m001|u001_m034,u001_e015|u001_e002|u001_e010|u001_e002|u001_e015|u001_e010|u001_e010|u001_e014|u001_e001|u001_e009,todo|todo|todo|todo|preference|dependency|constraint|todo|todo|todo,0.635843|0.630922|0.592931|0.5867|0.544822|0.540864|0.528707|0.501733|0.4968|0.494533,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,0.6666666666666666,0.5497655832101642,0.0,1.0,0.0,0.0,,0.0,169
10,wo_decay,u001,u001_q003,task,task_priority,,论文实验复现接下来应该推进什么？,u001_m005|u001_m058|u001_m006|u001_m038|u001_m037|u001_m022|u001_m023|u001_m054|u001_m034|u001_m039,u001_e002|u001_e015|u001_e002|u001_e010|u001_e010|u001_e006|u001_e006|u001_e014|u001_e009|u001_e010,todo|todo|todo|todo|dependency|status_update|dependency|todo|todo|constraint,0.661602|0.626483|0.59866|0.591891|0.523964|0.5232|0.506|0.498267|0.49267|0.490843,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,1.0,0.8605360475069158,1.0,1.0,1.0,0.0,,0.0,162
10,wo_compatibility,u001,u001_q003,task,task_priority,,论文实验复现接下来应该推进什么？,u001_m057|u001_m005|u001_m037|u001_m059|u001_m039|u001_m060|u001_m058|u001_m006|u001_m040|u001_m042,u001_e015|u001_e002|u001_e010|u001_e015|u001_e010|u001_e015|u001_e015|u001_e002|u001_e010|u001_e011,preference|todo|dependency|preference|constraint|fact|todo|todo|fact|profile,0.511822|0.452602|0.441864|0.44186|0.429707|0.429|0.417483|0.38966|0.384951|0.383563,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,0.3333333333333333,0.3597186998521971,0.0,0.5,0.0,0.0,,0.0,173
10,wo_domain,u001,u001_q003,task,task_priority,,论文实验复现接下来应该推进什么？,u001_m005|u001_m058|u001_m006|u001_m038|u001_m050|u001_m070|u001_m053|u001_m013|u001_m057|u001_m037,u001_e002|u001_e015|u001_e002|u001_e010|u001_e013|u001_e018|u001_e014|u001_e004|u001_e015|u001_e010,todo|todo|todo|todo|status_update|constraint|constraint|todo|preference|dependency,0.521602|0.486483|0.45866|0.451891|0.429555|0.415333|0.410099|0.4076|0.404822|0.400864,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,0.6666666666666666,0.7338381252682711,1.0,1.0,0.0,0.0,,0.0,172
10,wo_penalty,u001,u001_q003,task,task_priority,,论文实验复现接下来应该推进什么？,u001_m005|u001_m058|u001_m006|u001_m038|u001_m057|u001_m037|u001_m039|u001_m054|u001_m001|u001_m034,u001_e002|u001_e015|u001_e002|u001_e010|u001_e015|u001_e010|u001_e010|u001_e014|u001_e001|u001_e009,todo|todo|todo|todo|preference|dependency|constraint|todo|todo|todo,0.661602|0.626483|0.59866|0.591891|0.544822|0.540864|0.528707|0.498267|0.493998|0.49267,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,0.6666666666666666,0.7338381252682711,1.0,1.0,0.0,0.0,,0.0,169
5,full_qca,u001,u001_q004,task,task_priority,,现在最重要但不一定最紧急的任务是什么？,u001_m005|u001_m006|u001_m062|u001_m058|u001_m070,u001_e002|u001_e002|u001_e016|u001_e015|u001_e018,todo|todo|constraint|todo|constraint,0.607615|0.54021|0.521259|0.516107|0.508666,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.3333333333333333,0.5701406500739014,1.0,0.3333333333333333,,0.0,,0.0,83
5,wo_tmt,u001,u001_q004,task,task_priority,,现在最重要但不一定最紧急的任务是什么？,u001_m005|u001_m069|u001_m009|u001_m006|u001_m058,u001_e002|u001_e018|u001_e003|u001_e002|u001_e015,todo|todo|todo|todo|todo,0.576935|0.572533|0.533767|0.52825|0.525467,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.3333333333333333,0.5701406500739014,1.0,0.3333333333333333,,0.0,,0.0,75
5,wo_decay,u001,u001_q004,task,task_priority,,现在最重要但不一定最紧急的任务是什么？,u001_m005|u001_m006|u001_m058|u001_m034|u001_m009,u001_e002|u001_e002|u001_e015|u001_e009|u001_e003,todo|todo|todo|todo|todo,0.607615|0.54021|0.516107|0.49267|0.470673,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.3333333333333333,0.5701406500739014,1.0,0.3333333333333333,,0.0,,0.0,80
5,wo_compatibility,u001,u001_q004,task,task_priority,,现在最重要但不一定最紧急的任务是什么？,u001_m049|u001_m064|u001_m061|u001_m062|u001_m070,u001_e013|u001_e016|u001_e016|u001_e016|u001_e018,preference|fact|fact|constraint|constraint,0.441711|0.429|0.423638|0.422259|0.409666,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.0,0.0,0.0,0.0,,0.0,,0.0,88
5,wo_domain,u001,u001_q004,task,task_priority,,现在最重要但不一定最紧急的任务是什么？,u001_m005|u001_m050|u001_m058|u001_m070|u001_m053,u001_e002|u001_e013|u001_e015|u001_e018|u001_e014,todo|status_update|todo|constraint|constraint,0.467615|0.429555|0.422773|0.415333|0.410099,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.3333333333333333,0.5701406500739014,1.0,0.3333333333333333,,0.0,,0.0,91
5,wo_penalty,u001,u001_q004,task,task_priority,,现在最重要但不一定最紧急的任务是什么？,u001_m005|u001_m006|u001_m062|u001_m058|u001_m070,u001_e002|u001_e002|u001_e016|u001_e015|u001_e018,todo|todo|constraint|todo|constraint,0.607615|0.54021|0.521259|0.516107|0.508666,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.3333333333333333,0.5701406500739014,1.0,0.3333333333333333,,0.0,,0.0,83
10,full_qca,u001,u001_q004,task,task_priority,,现在最重要但不一定最紧急的任务是什么？,u001_m005|u001_m006|u001_m062|u001_m058|u001_m070|u001_m034|u001_m064|u001_m061|u001_m049|u001_m009,u001_e002|u001_e002|u001_e016|u001_e015|u001_e018|u001_e009|u001_e016|u001_e016|u001_e013|u001_e003,todo|todo|constraint|todo|constraint|todo|fact|fact|preference|todo,0.607615|0.54021|0.521259|0.516107|0.508666|0.49267|0.484|0.478638|0.474711|0.470673,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.3333333333333333,0.5701406500739014,1.0,0.3333333333333333,,0.0,,0.0,167
10,wo_tmt,u001,u001_q004,task,task_priority,,现在最重要但不一定最紧急的任务是什么？,u001_m005|u001_m069|u001_m009|u001_m006|u001_m058|u001_m062|u001_m063|u001_m070|u001_m001|u001_m034,u001_e002|u001_e018|u001_e003|u001_e002|u001_e015|u001_e016|u001_e016|u001_e018|u001_e001|u001_e009,todo|todo|todo|todo|todo|constraint|todo|constraint|todo|todo,0.576935|0.572533|0.533767|0.52825|0.525467|0.521259|0.513|0.508666|0.4968|0.494533,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.6666666666666666,0.6845602750203054,1.0,0.6666666666666666,,0.0,,0.0,157
10,wo_decay,u001,u001_q004,task,task_priority,,现在最重要但不一定最紧急的任务是什么？,u001_m005|u001_m006|u001_m058|u001_m034|u001_m009|u001_m013|u001_m038|u001_m018|u001_m069|u001_m049,u001_e002|u001_e002|u001_e015|u001_e009|u001_e003|u001_e004|u001_e010|u001_e005|u001_e018|u001_e013,todo|todo|todo|todo|todo|todo|todo|status_update|todo|preference,0.607615|0.54021|0.516107|0.49267|0.470673|0.454267|0.448404|0.4428|0.441609|0.425475,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.6666666666666666,0.7055327815530771,1.0,0.6666666666666666,,0.0,,0.0,150
10,wo_compatibility,u001,u001_q004,task,task_priority,,现在最重要但不一定最紧急的任务是什么？,u001_m049|u001_m064|u001_m061|u001_m062|u001_m070|u001_m057|u001_m005|u001_m071|u001_m059|u001_m060,u001_e013|u001_e016|u001_e016|u001_e016|u001_e018|u001_e015|u001_e002|u001_e018|u001_e015|u001_e015,preference|fact|fact|constraint|constraint|preference|todo|fact|preference|fact,0.441711|0.429|0.423638|0.422259|0.409666|0.406705|0.398615|0.397295|0.395193|0.382333,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.3333333333333333,0.19004688335796713,0.0,0.3333333333333333,,0.0,,0.0,176
10,wo_domain,u001,u001_q004,task,task_priority,,现在最重要但不一定最紧急的任务是什么？,u001_m005|u001_m050|u001_m058|u001_m070|u001_m053|u001_m013|u001_m038|u001_m006|u001_m049|u001_m062,u001_e002|u001_e013|u001_e015|u001_e018|u001_e014|u001_e004|u001_e010|u001_e002|u001_e013|u001_e016,todo|status_update|todo|constraint|constraint|todo|todo|todo|preference|constraint,0.467615|0.429555|0.422773|0.415333|0.410099|0.4076|0.401738|0.40021|0.381378|0.381259,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.6666666666666666,0.7055327815530771,1.0,0.6666666666666666,,0.0,,0.0,162
10,wo_penalty,u001,u001_q004,task,task_priority,,现在最重要但不一定最紧急的任务是什么？,u001_m005|u001_m006|u001_m062|u001_m058|u001_m070|u001_m001|u001_m034|u001_m002|u001_m064|u001_m061,u001_e002|u001_e002|u001_e016|u001_e015|u001_e018|u001_e001|u001_e009|u001_e001|u001_e016|u001_e016,todo|todo|constraint|todo|constraint|todo|todo|todo|fact|fact,0.607615|0.54021|0.521259|0.516107|0.508666|0.493998|0.49267|0.48738|0.484|0.478638,u001_m005|u001_m001|u001_m013,u001_e002|u001_e001|u001_e004,0.6666666666666666,0.7055327815530771,1.0,0.6666666666666666,,0.0,,0.0,179
5,full_qca,u001,u001_q005,task,task_status,,课程项目汇报还有什么没完成？,u001_m002|u001_m001|u001_m054|u001_m034|u001_m018,u001_e001|u001_e001|u001_e014|u001_e009|u001_e005,todo|todo|todo|todo|status_update,0.663558|0.662876|0.651267|0.640899|0.62116,u001_m018|u001_m002|u001_m065,u001_e005|u001_e001|u001_e017,0.6666666666666666,0.7715039881147672,1.0,0.5,1.0,,,,91
5,wo_tmt,u001,u001_q005,task,task_status,,课程项目汇报还有什么没完成？,u001_m001|u001_m002|u001_m054|u001_m034|u001_m018,u001_e001|u001_e001|u001_e014|u001_e009|u001_e005,todo|todo|todo|todo|status_update,0.6646|0.663078|0.6534|0.642046|0.62116,u001_m018|u001_m002|u001_m065,u001_e005|u001_e001|u001_e017,0.6666666666666666,0.5661908030898144,0.0,0.5,1.0,,,,91
5,wo_decay,u001,u001_q005,task,task_status,,课程项目汇报还有什么没完成？,u001_m018|u001_m002|u001_m001|u001_m054|u001_m034,u001_e005|u001_e001|u001_e001|u001_e014|u001_e009,status_update|todo|todo|todo|todo,0.691073|0.663558|0.662876|0.651267|0.640899,u001_m018|u001_m002|u001_m065,u001_e005|u001_e001|u001_e017,0.6666666666666666,0.9072836011519267,1.0,0.5,1.0,,,,91
