top_k,ablation,user_id,query_id,query_mode,query_subtype,hard_case_tag,query,selected_memory_ids,selected_event_ids,selected_memory_types,selected_memory_scores,gold_memory_ids,gold_event_ids,memory_recall,memory_NDCG,memory_top1_accuracy,todo_recall,non_todo_recall,completed_task_error_rate,todo_intrusion_rate,wrong_domain_intrusion_rate,stale_memory_intrusion_rate,completed_task_intrusion_rate,far_deadline_before_near_rate,deadline_ranking_accuracy,memory_token_cost
10,wo_domain,v3u001,v3u001_q001,task,task_due,tmt_deadline_order,"For thesis_ablation_report_01, which active deadline task should be handled first?",v3u001_m0009|v3u001_m0002|v3u001_m0004|v3u001_m0016|v3u001_m0010|v3u001_m0015|v3u001_m0012|v3u001_m0011|v3u001_m0007|v3u001_m0028,v3u001_e002|v3u001_e001|v3u001_e001|v3u001_e003|v3u001_e002|v3u001_e003|v3u001_e002|v3u001_e002|v3u001_e002|v3u001_e006,status_update|todo|dependency|status_update|constraint|status_update|fact|fact|todo|status_update,0.560671|0.5552|0.525304|0.520692|0.520537|0.506987|0.4936|0.482556|0.482042|0.472434,v3u001_m0001|v3u001_m0004,v3u001_e001,0.5,0.23463936301137822,0,0,1,0,,0.5,,0,0,0,233
10,wo_penalty,v3u001,v3u001_q001,task,task_due,tmt_deadline_order,"For thesis_ablation_report_01, which active deadline task should be handled first?",v3u001_m0001|v3u001_m0003|v3u001_m0007|v3u001_m0002|v3u001_m0004|v3u001_m0016|v3u001_m0015|v3u001_m0008|v3u001_m0028|v3u001_m0005,v3u001_e001|v3u001_e001|v3u001_e002|v3u001_e001|v3u001_e001|v3u001_e003|v3u001_e003|v3u001_e002|v3u001_e006|v3u001_e001,todo|todo|todo|todo|dependency|status_update|status_update|todo|status_update|constraint,0.71545|0.69096|0.662042|0.6552|0.625304|0.620692|0.606987|0.6051|0.572434|0.568825,v3u001_m0001|v3u001_m0004,v3u001_e001,1,0.8854598815714874,1,1,1,0,,0.2,,0,0,1,250
5,full_qca,v3u001,v3u001_q002,task,task_due,tmt_far_distractor,"Rank active thesis_ablation_report_01 todos by deadline, near before far.",v3u001_m0001|v3u001_m0003|v3u001_m0002|v3u001_m0004|v3u001_m0016,v3u001_e001|v3u001_e001|v3u001_e001|v3u001_e001|v3u001_e003,todo|todo|todo|dependency|status_update,0.74545|0.72096|0.659867|0.608833|0.606692,v3u001_m0001|v3u001_m0002|v3u001_m0003,v3u001_e001,1,0.9725044904464192,1,1,,0,,0,,0,0,1,122
5,wo_tmt,v3u001,v3u001_q002,task,task_due,tmt_far_distractor,"Rank active thesis_ablation_report_01 todos by deadline, near before far.",v3u001_m0003|v3u001_m0007|v3u001_m0002|v3u001_m0008|v3u001_m0004,v3u001_e001|v3u001_e002|v3u001_e001|v3u001_e002|v3u001_e001,todo|todo|todo|todo|dependency,0.8088|0.6681|0.652667|0.630933|0.608833,v3u001_m0001|v3u001_m0002|v3u001_m0003,v3u001_e001,0.6666666666666666,0.42000399150792816,1,0.6666666666666666,,0,,0.4,,0,1,0,114
5,wo_decay,v3u001,v3u001_q002,task,task_due,tmt_far_distractor,"Rank active thesis_ablation_report_01 todos by deadline, near before far.",v3u001_m0001|v3u001_m0003|v3u001_m0002|v3u001_m0033|v3u001_m0015,v3u001_e001|v3u001_e001|v3u001_e001|v3u001_e007|v3u001_e003,todo|todo|todo|dependency|status_update,0.74545|0.72096|0.659867|0.6133|0.605974,v3u001_m0001|v3u001_m0002|v3u001_m0003,v3u001_e001,1,0.9725044904464192,1,1,,0,,0,,0,0,1,112
5,wo_compatibility,v3u001,v3u001_q002,task,task_due,tmt_far_distractor,"Rank active thesis_ablation_report_01 todos by deadline, near before far.",v3u001_m0001|v3u001_m0003|v3u001_m0004|v3u001_m0017|v3u001_m0006,v3u001_e001|v3u001_e001|v3u001_e001|v3u001_e003|v3u001_e001,todo|todo|dependency|fact|fact,0.56545|0.54096|0.509833|0.494817|0.490758,v3u001_m0001|v3u001_m0002|v3u001_m0003,v3u001_e001,0.6666666666666666,0.7625024946924551,1,0.6666666666666666,,0,,0,,0,0,1,111
5,wo_domain,v3u001,v3u001_q002,task,task_due,tmt_far_distractor,"Rank active thesis_ablation_report_01 todos by deadline, near before far.",v3u001_m0009|v3u001_m0002|v3u001_m0010|v3u001_m0004|v3u001_m0016,v3u001_e002|v3u001_e001|v3u001_e002|v3u001_e001|v3u001_e003,status_update|todo|constraint|dependency|status_update,0.5617|0.559867|0.521356|0.508833|0.506692,v3u001_m0001|v3u001_m0002|v3u001_m0003,v3u001_e001,0.3333333333333333,0.26499301486112564,0,0.3333333333333333,,0,,0.4,,0,0,0,119
5,wo_penalty,v3u001,v3u001_q002,task,task_due,tmt_far_distractor,"Rank active thesis_ablation_report_01 todos by deadline, near before far.",v3u001_m0001|v3u001_m0003|v3u001_m0007|v3u001_m0002|v3u001_m0004,v3u001_e001|v3u001_e001|v3u001_e002|v3u001_e001|v3u001_e001,todo|todo|todo|todo|dependency,0.74545|0.72096|0.66513|0.659867|0.608833,v3u001_m0001|v3u001_m0002|v3u001_m0003,v3u001_e001,1,0.9433883681321761,1,1,,0,,0.2,,0,0,1,117
10,full_qca,v3u001,v3u001_q002,task,task_due,tmt_far_distractor,"Rank active thesis_ablation_report_01 todos by deadline, near before far.",v3u001_m0001|v3u001_m0003|v3u001_m0002|v3u001_m0004|v3u001_m0016|v3u001_m0015|v3u001_m0005|v3u001_m0009|v3u001_m0018|v3u001_m0017,v3u001_e001|v3u001_e001|v3u001_e001|v3u001_e001|v3u001_e003|v3u001_e003|v3u001_e001|v3u001_e002|v3u001_e003|v3u001_e003,todo|todo|todo|dependency|status_update|status_update|constraint|status_update|constraint|fact,0.74545|0.72096|0.659867|0.608833|0.606692|0.580979|0.569492|0.5617|0.553606|0.539817,v3u001_m0001|v3u001_m0002|v3u001_m0003,v3u001_e001,1,0.9725044904464192,1,1,,0,,0.1,,0,0,1,249
10,wo_tmt,v3u001,v3u001_q002,task,task_due,tmt_far_distractor,"Rank active thesis_ablation_report_01 todos by deadline, near before far.",v3u001_m0003|v3u001_m0007|v3u001_m0002|v3u001_m0008|v3u001_m0004|v3u001_m0016|v3u001_m0001|v3u001_m0015|v3u001_m0005|v3u001_m0009,v3u001_e001|v3u001_e002|v3u001_e001|v3u001_e002|v3u001_e001|v3u001_e003|v3u001_e001|v3u001_e003|v3u001_e001|v3u001_e002,todo|todo|todo|todo|dependency|status_update|todo|status_update|constraint|status_update,0.8088|0.6681|0.652667|0.630933|0.608833|0.606692|0.586|0.580979|0.569492|0.5617,v3u001_m0001|v3u001_m0002|v3u001_m0003,v3u001_e001,1,0.6300059872618923,1,1,,0,,0.3,,0,1,0,242
10,wo_decay,v3u001,v3u001_q002,task,task_due,tmt_far_distractor,"Rank active thesis_ablation_report_01 todos by deadline, near before far.",v3u001_m0001|v3u001_m0003|v3u001_m0002|v3u001_m0033|v3u001_m0015|v3u001_m0034|v3u001_m0032|v3u001_m0017|v3u001_m0018|v3u001_m0035,v3u001_e001|v3u001_e001|v3u001_e001|v3u001_e007|v3u001_e003|v3u001_e007|v3u001_e007|v3u001_e003|v3u001_e003|v3u001_e007,todo|todo|todo|dependency|status_update|constraint|fact|fact|constraint|fact,0.74545|0.72096|0.659867|0.6133|0.605974|0.593141|0.585471|0.550412|0.5498|0.532467,v3u001_m0001|v3u001_m0002|v3u001_m0003,v3u001_e001,1,0.9725044904464192,1,1,,0,,0,,0,0,1,225
10,wo_compatibility,v3u001,v3u001_q002,task,task_due,tmt_far_distractor,"Rank active thesis_ablation_report_01 todos by deadline, near before far.",v3u001_m0001|v3u001_m0003|v3u001_m0004|v3u001_m0017|v3u001_m0006|v3u001_m0016|v3u001_m0005|v3u001_m0002|v3u001_m0018|v3u001_m0015,v3u001_e001|v3u001_e001|v3u001_e001|v3u001_e003|v3u001_e001|v3u001_e003|v3u001_e001|v3u001_e001|v3u001_e003|v3u001_e003,todo|todo|dependency|fact|fact|status_update|constraint|todo|constraint|status_update,0.56545|0.54096|0.509833|0.494817|0.490758|0.489692|0.488492|0.479867|0.472606|0.463979,v3u001_m0001|v3u001_m0002|v3u001_m0003,v3u001_e001,1,0.894999002123018,1,1,,0,,0,,0,0,1,243
10,wo_domain,v3u001,v3u001_q002,task,task_due,tmt_far_distractor,"Rank active thesis_ablation_report_01 todos by deadline, near before far.",v3u001_m0009|v3u001_m0002|v3u001_m0010|v3u001_m0004|v3u001_m0016|v3u001_m0007|v3u001_m0011|v3u001_m0015|v3u001_m0012|v3u001_m0005,v3u001_e002|v3u001_e001|v3u001_e002|v3u001_e001|v3u001_e003|v3u001_e002|v3u001_e002|v3u001_e003|v3u001_e002|v3u001_e001,status_update|todo|constraint|dependency|status_update|todo|fact|status_update|fact|constraint,0.5617|0.559867|0.521356|0.508833|0.506692|0.48513|0.483471|0.480979|0.4761|0.469492,v3u001_m0001|v3u001_m0002|v3u001_m0003,v3u001_e001,0.3333333333333333,0.26499301486112564,0,0.3333333333333333,,0,,0.5,,0,0,0,237
10,wo_penalty,v3u001,v3u001_q002,task,task_due,tmt_far_distractor,"Rank active thesis_ablation_report_01 todos by deadline, near before far.",v3u001_m0001|v3u001_m0003|v3u001_m0007|v3u001_m0002|v3u001_m0004|v3u001_m0008|v3u001_m0016|v3u001_m0015|v3u001_m0005|v3u001_m0009,v3u001_e001|v3u001_e001|v3u001_e002|v3u001_e001|v3u001_e001|v3u001_e002|v3u001_e003|v3u001_e003|v3u001_e001|v3u001_e002,todo|todo|todo|todo|dependency|todo|status_update|status_update|constraint|status_update,0.74545|0.72096|0.66513|0.659867|0.608833|0.607433|0.606692|0.580979|0.569492|0.5617,v3u001_m0001|v3u001_m0002|v3u001_m0003,v3u001_e001,1,0.9433883681321761,1,1,,0,,0.3,,0,0,1,242
5,full_qca,v3u001,v3u001_q003,task,task_due,domain_wrong_urgent,"What is due for thesis_ablation_report_01, ignoring urgent visa_renewal_forms_01 items?",v3u001_m0001|v3u001_m0003|v3u001_m0016|v3u001_m0009|v3u001_m0002,v3u001_e001|v3u001_e001|v3u001_e003|v3u001_e002|v3u001_e001,todo|todo|status_update|status_update|todo,0.678391|0.653901|0.639358|0.630354|0.618141,v3u001_m0001|v3u001_m0002,v3u001_e001,1,0.8854598815714874,1,1,,0,,0.2,,0,0,1,116
5,wo_tmt,v3u001,v3u001_q003,task,task_due,domain_wrong_urgent,"What is due for thesis_ablation_report_01, ignoring urgent visa_renewal_forms_01 items?",v3u001_m0003|v3u001_m0007|v3u001_m0016|v3u001_m0008|v3u001_m0009,v3u001_e001|v3u001_e002|v3u001_e003|v3u001_e002|v3u001_e002,todo|todo|status_update|todo|status_update,0.741741|0.648541|0.639358|0.630933|0.630354,v3u001_m0001|v3u001_m0002,v3u001_e001,0,0,0,0,,0,,0.6,,0,1,0,113
5,wo_decay,v3u001,v3u001_q003,task,task_due,domain_wrong_urgent,"What is due for thesis_ablation_report_01, ignoring urgent visa_renewal_forms_01 items?",v3u001_m0001|v3u001_m0003|v3u001_m0015|v3u001_m0002|v3u001_m0033,v3u001_e001|v3u001_e001|v3u001_e003|v3u001_e001|v3u001_e007,todo|todo|status_update|todo|dependency,0.678391|0.653901|0.619255|0.618141|0.6133,v3u001_m0001|v3u001_m0002,v3u001_e001,1,0.9060254355346823,1,1,,0,,0,,0,0,1,112
5,wo_compatibility,v3u001,v3u001_q003,task,task_due,domain_wrong_urgent,"What is due for thesis_ablation_report_01, ignoring urgent visa_renewal_forms_01 items?",v3u001_m0016|v3u001_m0009|v3u001_m0006|v3u001_m0004|v3u001_m0005,v3u001_e003|v3u001_e002|v3u001_e001|v3u001_e001|v3u001_e001,status_update|status_update|fact|dependency|constraint,0.522358|0.513354|0.512092|0.509833|0.503965,v3u001_m0001|v3u001_m0002,v3u001_e001,0,0,0,0,,0,,0.2,,0,0,0,121
5,wo_domain,v3u001,v3u001_q003,task,task_due,domain_wrong_urgent,"What is due for thesis_ablation_report_01, ignoring urgent visa_renewal_forms_01 items?",v3u001_m0009|v3u001_m0016|v3u001_m0010|v3u001_m0002|v3u001_m0004,v3u001_e002|v3u001_e003|v3u001_e002|v3u001_e001|v3u001_e001,status_update|status_update|constraint|todo|dependency,0.630354|0.539358|0.538741|0.518141|0.508833,v3u001_m0001|v3u001_m0002,v3u001_e001,0.5,0.20210734650054757,0,0.5,,0,,0.4,,0,0,0,119
5,wo_penalty,v3u001,v3u001_q003,task,task_due,domain_wrong_urgent,"What is due for thesis_ablation_report_01, ignoring urgent visa_renewal_forms_01 items?",v3u001_m0001|v3u001_m0003|v3u001_m0007|v3u001_m0016|v3u001_m0009,v3u001_e001|v3u001_e001|v3u001_e002|v3u001_e003|v3u001_e002,todo|todo|todo|status_update|status_update,0.678391|0.653901|0.645571|0.639358|0.630354,v3u001_m0001|v3u001_m0002,v3u001_e001,0.5,0.7039180890341347,1,0.5,,0,,0.4,,0,0,1,116
10,full_qca,v3u001,v3u001_q003,task,task_due,domain_wrong_urgent,"What is due for thesis_ablation_report_01, ignoring urgent visa_renewal_forms_01 items?",v3u001_m0001|v3u001_m0003|v3u001_m0016|v3u001_m0009|v3u001_m0002|v3u001_m0004|v3u001_m0015|v3u001_m0005|v3u001_m0006|v3u001_m0028,v3u001_e001|v3u001_e001|v3u001_e003|v3u001_e002|v3u001_e001|v3u001_e001|v3u001_e003|v3u001_e001|v3u001_e001|v3u001_e006,todo|todo|status_update|status_update|todo|dependency|status_update|constraint|fact|status_update,0.678391|0.653901|0.639358|0.630354|0.618141|0.608833|0.59426|0.584965|0.557092|0.555964,v3u001_m0001|v3u001_m0002,v3u001_e001,1,0.8854598815714874,1,1,,0,,0.1,,0,0,1,242
10,wo_tmt,v3u001,v3u001_q003,task,task_due,domain_wrong_urgent,"What is due for thesis_ablation_report_01, ignoring urgent visa_renewal_forms_01 items?",v3u001_m0003|v3u001_m0007|v3u001_m0016|v3u001_m0008|v3u001_m0009|v3u001_m0002|v3u001_m0004|v3u001_m0015|v3u001_m0005|v3u001_m0006,v3u001_e001|v3u001_e002|v3u001_e003|v3u001_e002|v3u001_e002|v3u001_e001|v3u001_e001|v3u001_e003|v3u001_e001|v3u001_e001,todo|todo|status_update|todo|status_update|todo|dependency|status_update|constraint|fact,0.741741|0.648541|0.639358|0.630933|0.630354|0.610941|0.608833|0.59426|0.584965|0.557092,v3u001_m0001|v3u001_m0002,v3u001_e001,0.5,0.16716045496620227,0,0.5,,0,,0.3,,0,1,0,234
10,wo_decay,v3u001,v3u001_q003,task,task_due,domain_wrong_urgent,"What is due for thesis_ablation_report_01, ignoring urgent visa_renewal_forms_01 items?",v3u001_m0001|v3u001_m0003|v3u001_m0015|v3u001_m0002|v3u001_m0033|v3u001_m0034|v3u001_m0032|v3u001_m0009|v3u001_m0018|v3u001_m0035,v3u001_e001|v3u001_e001|v3u001_e003|v3u001_e001|v3u001_e007|v3u001_e007|v3u001_e007|v3u001_e002|v3u001_e003|v3u001_e007,todo|todo|status_update|todo|dependency|constraint|fact|status_update|constraint|fact,0.678391|0.653901|0.619255|0.618141|0.6133|0.6127|0.604|0.594354|0.5498|0.532467,v3u001_m0001|v3u001_m0002,v3u001_e001,1,0.9060254355346823,1,1,,0,,0.1,,0,0,1,220
10,wo_compatibility,v3u001,v3u001_q003,task,task_due,domain_wrong_urgent,"What is due for thesis_ablation_report_01, ignoring urgent visa_renewal_forms_01 items?",v3u001_m0016|v3u001_m0009|v3u001_m0006|v3u001_m0004|v3u001_m0005|v3u001_m0001|v3u001_m0015|v3u001_m0003|v3u001_m0018|v3u001_m0017,v3u001_e003|v3u001_e002|v3u001_e001|v3u001_e001|v3u001_e001|v3u001_e001|v3u001_e003|v3u001_e001|v3u001_e003|v3u001_e003,status_update|status_update|fact|dependency|constraint|todo|status_update|todo|constraint|fact,0.522358|0.513354|0.512092|0.509833|0.503965|0.498391|0.47726|0.473901|0.472606|0.460142,v3u001_m0001|v3u001_m0002,v3u001_e001,0.5,0.2507406824493034,0,0.5,,0,,0.1,,0,0,1,240
10,wo_domain,v3u001,v3u001_q003,task,task_due,domain_wrong_urgent,"What is due for thesis_ablation_report_01, ignoring urgent visa_renewal_forms_01 items?",v3u001_m0009|v3u001_m0016|v3u001_m0010|v3u001_m0002|v3u001_m0004|v3u001_m0012|v3u001_m0015|v3u001_m0005|v3u001_m0011|v3u001_m0007,v3u001_e002|v3u001_e003|v3u001_e002|v3u001_e001|v3u001_e001|v3u001_e002|v3u001_e003|v3u001_e001|v3u001_e002|v3u001_e002,status_update|status_update|constraint|todo|dependency|fact|status_update|constraint|fact|todo,0.630354|0.539358|0.538741|0.518141|0.508833|0.495933|0.49426|0.484965|0.483471|0.465571,v3u001_m0001|v3u001_m0002,v3u001_e001,0.5,0.20210734650054757,0,0.5,,0,,0.5,,0,0,0,237
10,wo_penalty,v3u001,v3u001_q003,task,task_due,domain_wrong_urgent,"What is due for thesis_ablation_report_01, ignoring urgent visa_renewal_forms_01 items?",v3u001_m0001|v3u001_m0003|v3u001_m0007|v3u001_m0016|v3u001_m0009|v3u001_m0002|v3u001_m0004|v3u001_m0008|v3u001_m0015|v3u001_m0005,v3u001_e001|v3u001_e001|v3u001_e002|v3u001_e003|v3u001_e002|v3u001_e001|v3u001_e001|v3u001_e002|v3u001_e003|v3u001_e001,todo|todo|todo|status_update|status_update|todo|dependency|todo|status_update|constraint,0.678391|0.653901|0.645571|0.639358|0.630354|0.618141|0.608833|0.607433|0.59426|0.584965,v3u001_m0001|v3u001_m0002,v3u001_e001,1,0.8710785440003369,1,1,,0,,0.3,,0,0,1,242
5,full_qca,v3u001,v3u001_q004,task,task_due,penalty_completed_task,What open thesis_ablation_report_01 evidence_table work remains unfinished?,v3u001_m0001|v3u001_m0016|v3u001_m0003|v3u001_m0004|v3u001_m0015,v3u001_e001|v3u001_e003|v3u001_e001|v3u001_e001|v3u001_e003,todo|status_update|todo|dependency|status_update,0.682783|0.645192|0.63846|0.613225|0.613016,v3u001_m0001|v3u001_m0016,v3u001_e001|v3u001_e003,1,1,1,1,1,0,,0,,0,0,1,124
5,wo_tmt,v3u001,v3u001_q004,task,task_due,penalty_completed_task,What open thesis_ablation_report_01 evidence_table work remains unfinished?,v3u001_m0003|v3u001_m0016|v3u001_m0007|v3u001_m0004|v3u001_m0015,v3u001_e001|v3u001_e003|v3u001_e002|v3u001_e001|v3u001_e003,todo|status_update|todo|dependency|status_update,0.7263|0.645192|0.6331|0.613225|0.613016,v3u001_m0001|v3u001_m0016,v3u001_e001|v3u001_e003,0.5,0.2960819109658652,0,0,1,0,,0.2,,0,1,0,124
5,wo_decay,v3u001,v3u001_q004,task,task_due,penalty_completed_task,What open thesis_ablation_report_01 evidence_table work remains unfinished?,v3u001_m0001|v3u001_m0003|v3u001_m0015|v3u001_m0033|v3u001_m0032,v3u001_e001|v3u001_e001|v3u001_e003|v3u001_e007|v3u001_e007,todo|todo|status_update|dependency|fact,0.682783|0.63846|0.638011|0.6158|0.609,v3u001_m0001|v3u001_m0016,v3u001_e001|v3u001_e003,0.5,0.7039180890341347,1,1,0,0,,0,,0,0,1,111
5,wo_compatibility,v3u001,v3u001_q004,task,task_due,penalty_completed_task,What open thesis_ablation_report_01 evidence_table work remains unfinished?,v3u001_m0016|v3u001_m0018|v3u001_m0004|v3u001_m0001|v3u001_m0015,v3u001_e003|v3u001_e003|v3u001_e001|v3u001_e001|v3u001_e003,status_update|constraint|dependency|todo|status_update,0.528192|0.514606|0.514225|0.502783|0.496016,v3u001_m0001|v3u001_m0016,v3u001_e001|v3u001_e003,1,0.7724397457735779,1,1,1,0,,0,,0,0,1,126
5,wo_domain,v3u001,v3u001_q004,task,task_due,penalty_completed_task,What open thesis_ablation_report_01 evidence_table work remains unfinished?,v3u001_m0009|v3u001_m0016|v3u001_m0010|v3u001_m0004|v3u001_m0015,v3u001_e002|v3u001_e003|v3u001_e002|v3u001_e001|v3u001_e003,status_update|status_update|constraint|dependency|status_update,0.5642|0.545192|0.5233|0.513225|0.513016,v3u001_m0001|v3u001_m0016,v3u001_e001|v3u001_e003,0.5,0.2960819109658652,0,0,1,0,,0.4,,0,0,0,121
5,wo_penalty,v3u001,v3u001_q004,task,task_due,penalty_completed_task,What open thesis_ablation_report_01 evidence_table work remains unfinished?,v3u001_m0001|v3u001_m0016|v3u001_m0003|v3u001_m0007|v3u001_m0004,v3u001_e001|v3u001_e003|v3u001_e001|v3u001_e002|v3u001_e001,todo|status_update|todo|todo|dependency,0.682783|0.645192|0.63846|0.63013|0.613225,v3u001_m0001|v3u001_m0016,v3u001_e001|v3u001_e003,1,1,1,1,1,0,,0.2,,0,0,1,121
10,full_qca,v3u001,v3u001_q004,task,task_due,penalty_completed_task,What open thesis_ablation_report_01 evidence_table work remains unfinished?,v3u001_m0001|v3u001_m0016|v3u001_m0003|v3u001_m0004|v3u001_m0015|v3u001_m0002|v3u001_m0018|v3u001_m0005|v3u001_m0009|v3u001_m0028,v3u001_e001|v3u001_e003|v3u001_e001|v3u001_e001|v3u001_e003|v3u001_e001|v3u001_e003|v3u001_e001|v3u001_e002|v3u001_e006,todo|status_update|todo|dependency|status_update|todo|constraint|constraint|status_update|status_update,0.682783|0.645192|0.63846|0.613225|0.613016|0.6027|0.595606|0.571047|0.5642|0.560356,v3u001_m0001|v3u001_m0016,v3u001_e001|v3u001_e003,1,1,1,1,1,0,,0.1,,0,0,1,252
